gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn;operator;department;monthly_cost_mad;total_cost_mad;plan;roaming_flag;data_usage_gb;quota_gb;over_quota_flag;anomaly_flag;risk_proba;risk_score_100;risk_level;future_cost_mad;future_cost_pred_mad;alert_flag;recommendation
Female;0;Yes;No;1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;29.85;29.85;0;Maroc Telecom;IT;298.5;298.5;M;0;14.82;12;1;0;0.26;26.0;Moyen;368.01;348.71;1;Proposer forfait supérieur
Male;0;No;No;34;Yes;No;DSL;Yes;No;Yes;No;No;No;One year;No;Mailed check;56.95;1889.5;0;inwi;Direction;569.5;18895.0;XL;1;27.62;50;0;0;0.02;2.0;Faible;663.16;645.23;0;RAS
Male;0;No;No;2;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;53.85;108.15;1;Orange Maroc;RH;538.5;1081.5;XL;1;30.95;50;0;0;0.81;81.0;Critique;641.54;615.74;1;Surveiller la ligne + analyser causes
Male;0;No;No;45;No;No phone service;DSL;Yes;No;Yes;Yes;No;No;One year;No;Bank transfer (automatic);42.3;1840.75;0;Orange Maroc;Support;423.0;18407.5;L;0;24.1;25;0;0;0.015;1.5;Faible;465.03;423.1;0;RAS
Female;0;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70.7;151.65;1;Maroc Telecom;IT;707.0;1516.5;XL;0;32.03;50;0;0;0.8375;83.8;Critique;733.76;707.19;1;Surveiller la ligne + analyser causes
Female;0;No;No;8;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;99.65;820.5;1;Maroc Telecom;Finance;996.5;8205.0;XL;0;50.97;50;1;0;0.98;98.0;Critique;1038.16;1047.19;1;Proposer upgrade forfait + vérifier usage
Male;0;No;Yes;22;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Credit card (automatic);89.1;1949.4;0;Maroc Telecom;Commercial;891.0;19494.0;XL;0;50.23;50;1;0;0.51;51.0;Élevé;940.18;942.13;1;Proposer upgrade forfait + vérifier usage
Female;0;No;No;10;No;No phone service;DSL;Yes;No;No;No;No;No;Month-to-month;No;Mailed check;29.75;301.9;0;inwi;Support;297.5;3019.0;M;0;18.98;12;1;0;0.2325;23.2;Moyen;349.58;348.23;1;Proposer forfait supérieur
Female;0;Yes;No;28;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;104.8;3046.05;1;Orange Maroc;Commercial;1048.0;30460.5;XL;0;49.67;50;0;0;0.85;85.0;Critique;1065.24;1047.81;1;Surveiller la ligne + analyser causes
Male;0;No;Yes;62;Yes;No;DSL;Yes;Yes;No;No;No;No;One year;No;Bank transfer (automatic);56.15;3487.95;0;Orange Maroc;Direction;561.5;34879.5;XL;0;32.86;50;0;0;0.04;4.0;Faible;579.32;561.76;0;RAS
