start_time;duration_sec;call_type;location_origin;country_origin;location_dest;country_dest;is_night_call;transaction_status;fraud_type;operator_maroc;department;call_zone;roaming_flag;call_cost_mad;high_cost_flag;long_duration_flag;international_flag;fraud_flag;fraud_risk_proba;fraud_risk_score_100
2025-05-31 16:09:56;293;local;Kampala;UG;Johannesburg;ZA;0;Genuine;none;Maroc Telecom;Commercial;National;0;102.55;0;0;0;0;0.41365606;41.4
2025-05-31 16:09:56;213;international;Cairo;EG;Lagos;NG;0;Genuine;none;inwi;Finance;Roaming;1;532.5;1;0;0;0;0.48363554;48.4
2025-05-31 16:09:56;191;international;Lagos;NG;Lagos;NG;0;Genuine;none;Orange Maroc;Support;International;0;229.2;0;0;1;0;0.36285996;36.3
2025-05-31 16:09:56;14;international;Nairobi;KE;Addis Ababa;ET;0;Fraudulent;sim_box_fraud;Orange Maroc;RH;International;0;16.8;0;0;1;1;0.91713184;91.7
2025-05-31 16:09:56;166;international;Cairo;EG;Addis Ababa;ET;0;Genuine;none;Maroc Telecom;Commercial;International;0;199.2;0;0;1;0;0.4083315;40.8
2025-05-31 16:09:56;181;local;Addis Ababa;ET;Cairo;EG;0;Genuine;none;Maroc Telecom;Direction;National;0;63.35;0;0;0;0;0.4352913;43.5
2025-05-31 16:09:56;257;local;Accra;GH;Lagos;NG;0;Genuine;none;Maroc Telecom;IT;National;0;89.95;0;0;0;0;0.36765322;36.8
2025-05-31 16:09:56;840;local;Lagos;NG;Lagos;NG;0;Genuine;none;inwi;IT;National;0;294.0;1;1;0;0;0.38368753;38.4
2025-05-31 16:09:56;778;local;Addis Ababa;ET;Lagos;NG;0;Genuine;none;Orange Maroc;Support;National;0;272.3;0;1;0;0;0.4649358;46.5
2025-05-31 16:09:56;10;local;Kampala;UG;Johannesburg;ZA;0;Genuine;none;Orange Maroc;Commercial;National;0;3.5;0;0;0;0;0.41523552;41.5
2025-05-31 16:09:56;88;local;Cairo;EG;Addis Ababa;ET;0;Fraudulent;call_masking;Maroc Telecom;Finance;National;0;30.8;0;0;0;1;0.32696033;32.7
2025-05-31 16:09:56;450;local;Accra;GH;Lagos;NG;0;Genuine;none;inwi;Commercial;National;0;157.5;0;1;0;0;0.41499263;41.5
2025-05-31 16:09:56;14;international;Accra;GH;Accra;GH;0;Fraudulent;subscription_fraud;inwi;IT;International;0;16.8;0;0;1;1;0.8763841;87.6
2025-05-31 16:09:56;97;international;Lagos;NG;Accra;GH;0;Genuine;none;Maroc Telecom;Finance;Roaming;1;242.5;0;0;0;0;0.3517132;35.2
2025-05-31 16:09:56;222;local;Nairobi;KE;Johannesburg;ZA;0;Fraudulent;subscription_fraud;Maroc Telecom;RH;National;0;77.7;0;0;0;1;0.4373265;43.7
2025-05-31 16:09:56;21;local;Johannesburg;ZA;Johannesburg;ZA;0;Genuine;none;Maroc Telecom;Support;National;0;7.35;0;0;0;0;0.34872478;34.9
2025-05-31 16:09:56;42;local;Lagos;NG;Cairo;EG;0;Fraudulent;call_masking;Maroc Telecom;Commercial;National;0;14.7;0;0;0;1;0.42218202;42.2
2025-05-31 16:09:56;26;local;Addis Ababa;ET;Addis Ababa;ET;0;Fraudulent;random_fraud;Orange Maroc;Commercial;National;0;9.1;0;0;0;1;0.38993323;39.0
2025-05-31 16:09:56;14;international;Kampala;UG;Accra;GH;0;Fraudulent;sim_box_fraud;Maroc Telecom;Support;International;0;16.8;0;0;1;1;0.8961743;89.6
2025-05-31 16:09:56;272;international;Addis Ababa;ET;Kampala;UG;0;Fraudulent;call_masking;Maroc Telecom;Finance;International;0;326.4;1;0;1;1;0.41961017;42.0
2025-05-31 16:09:56;164;international;Lagos;NG;Nairobi;KE;0;Genuine;none;Orange Maroc;Support;International;0;196.8;0;0;1;0;0.39785632;39.8
2025-05-31 16:09:56;386;local;Lagos;NG;Addis Ababa;ET;0;Fraudulent;random_fraud;Maroc Telecom;Support;National;0;135.1;0;0;0;1;0.47062403;47.1
2025-05-31 16:09:56;75;international;Kampala;UG;Johannesburg;ZA;0;Genuine;none;Maroc Telecom;Finance;International;0;90.0;0;0;1;0;0.44237447;44.2
2025-05-31 16:09:56;233;international;Accra;GH;Johannesburg;ZA;0;Genuine;none;Maroc Telecom;RH;International;0;279.6;1;0;1;0;0.42609504;42.6
2025-05-31 16:09:56;10;local;Nairobi;KE;Johannesburg;ZA;0;Genuine;none;Orange Maroc;Direction;National;0;3.5;0;0;0;0;0.48702437;48.7
2025-05-31 16:09:56;154;local;Addis Ababa;ET;Addis Ababa;ET;0;Genuine;none;inwi;Direction;National;0;53.9;0;0;0;0;0.4660145;46.6
2025-05-31 16:09:56;141;local;Kampala;UG;Cairo;EG;0;Fraudulent;random_fraud;Maroc Telecom;Finance;National;0;49.35;0;0;0;1;0.43472517;43.5
2025-05-31 16:09:56;158;local;Cairo;EG;Lagos;NG;0;Genuine;none;Orange Maroc;IT;National;0;55.3;0;0;0;0;0.38657564;38.7
2025-05-31 16:09:56;271;international;Lagos;NG;Lagos;NG;0;Fraudulent;random_fraud;Orange Maroc;Finance;International;0;325.2;1;0;1;1;0.42741415;42.7
2025-05-31 16:09:56;42;local;Johannesburg;ZA;Cairo;EG;0;Fraudulent;subscription_fraud;Maroc Telecom;RH;National;0;14.7;0;0;0;1;0.40887982;40.9
2025-05-31 16:09:56;88;local;Lagos;NG;Cairo;EG;0;Genuine;none;Orange Maroc;RH;National;0;30.8;0;0;0;0;0.31284395;31.3
2025-05-31 16:09:56;21;international;Nairobi;KE;Nairobi;KE;0;Fraudulent;sim_box_fraud;Maroc Telecom;Commercial;International;0;25.2;0;0;1;1;0.8439302;84.4
2025-05-31 16:09:56;93;local;Addis Ababa;ET;Accra;GH;0;Fraudulent;random_fraud;Maroc Telecom;Support;National;0;32.55;0;0;0;1;0.49082732;49.1
2025-05-31 16:09:56;93;international;Johannesburg;ZA;Accra;GH;0;Fraudulent;random_fraud;inwi;RH;International;0;111.6;0;0;1;1;0.44228214;44.2
2025-05-31 16:09:56;42;local;Addis Ababa;ET;Lagos;NG;0;Fraudulent;subscription_fraud;inwi;Support;National;0;14.7;0;0;0;1;0.36414453;36.4
2025-05-31 16:09:56;172;local;Nairobi;KE;Johannesburg;ZA;0;Fraudulent;subscription_fraud;inwi;IT;National;0;60.2;0;0;0;1;0.47146165;47.1
2025-05-31 16:09:56;244;local;Kampala;UG;Lagos;NG;0;Genuine;none;Maroc Telecom;IT;National;0;85.4;0;0;0;0;0.4345778;43.5
2025-05-31 16:09:56;55;international;Nairobi;KE;Nairobi;KE;0;Genuine;none;Maroc Telecom;Commercial;Roaming;1;137.5;0;0;0;0;0.4973874;49.7
2025-05-31 16:09:56;28;international;Kampala;UG;Accra;GH;0;Fraudulent;sim_box_fraud;Orange Maroc;IT;International;0;33.6;0;0;1;1;0.8102722;81.0
2025-05-31 16:09:56;137;local;Cairo;EG;Johannesburg;ZA;0;Genuine;none;Maroc Telecom;RH;National;0;47.95;0;0;0;0;0.40318704;40.3
2025-05-31 16:09:56;63;local;Accra;GH;Johannesburg;ZA;0;Genuine;none;Maroc Telecom;Support;National;0;22.05;0;0;0;0;0.5294121;52.9
2025-05-31 16:09:56;32;local;Lagos;NG;Addis Ababa;ET;0;Genuine;none;Orange Maroc;Finance;National;0;11.2;0;0;0;0;0.43341237;43.3
2025-05-31 16:09:56;241;local;Nairobi;KE;Johannesburg;ZA;0;Genuine;none;Maroc Telecom;Support;National;0;84.35;0;0;0;0;0.38981137;39.0
2025-05-31 16:09:56;49;local;Johannesburg;ZA;Cairo;EG;0;Fraudulent;call_masking;inwi;Finance;National;0;17.15;0;0;0;1;0.51672316;51.7
2025-05-31 16:09:56;92;local;Lagos;NG;Addis Ababa;ET;0;Fraudulent;call_masking;Maroc Telecom;IT;National;0;32.2;0;0;0;1;0.4918694;49.2
2025-05-31 16:09:56;366;international;Johannesburg;ZA;Johannesburg;ZA;0;Fraudulent;random_fraud;Orange Maroc;Commercial;Roaming;1;915.0;1;0;0;1;0.32646224;32.6
2025-05-31 16:09:56;31;international;Johannesburg;ZA;Cairo;EG;0;Fraudulent;random_fraud;Maroc Telecom;Support;International;0;37.2;0;0;1;1;0.8899223;89.0
2025-05-31 16:09:56;190;local;Johannesburg;ZA;Lagos;NG;0;Fraudulent;random_fraud;Orange Maroc;RH;National;0;66.5;0;0;0;1;0.39443758;39.4
2025-05-31 16:09:56;346;local;Addis Ababa;ET;Nairobi;KE;0;Genuine;none;Orange Maroc;Commercial;National;0;121.1;0;0;0;0;0.43685883;43.7
2025-05-31 16:09:56;109;local;Cairo;EG;Nairobi;KE;0;Genuine;none;Maroc Telecom;Direction;National;0;38.15;0;0;0;0;0.42167684;42.2
2025-05-31 16:09:56;158;international;Kampala;UG;Lagos;NG;0;Fraudulent;subscription_fraud;inwi;Support;International;0;189.6;0;0;1;1;0.38150373;38.2
2025-05-31 16:09:56;11;international;Addis Ababa;ET;Accra;GH;0;Fraudulent;sim_box_fraud;inwi;Finance;International;0;13.2;0;0;1;1;0.84015924;84.0
2025-05-31 16:09:56;223;local;Johannesburg;ZA;Lagos;NG;0;Fraudulent;call_masking;inwi;Support;National;0;78.05;0;0;0;1;0.5114133;51.1
2025-05-31 16:09:56;257;local;Johannesburg;ZA;Johannesburg;ZA;0;Genuine;none;inwi;Commercial;National;0;89.95;0;0;0;0;0.33415705;33.4
2025-05-31 16:09:56;15;international;Johannesburg;ZA;Addis Ababa;ET;0;Fraudulent;subscription_fraud;Orange Maroc;Support;International;0;18.0;0;0;1;1;0.8916339;89.2
2025-05-31 16:09:56;16;international;Nairobi;KE;Cairo;EG;0;Fraudulent;sim_box_fraud;inwi;Commercial;International;0;19.2;0;0;1;1;0.89238966;89.2
2025-05-31 16:09:56;393;local;Lagos;NG;Lagos;NG;0;Genuine;none;Maroc Telecom;IT;National;0;137.55;0;0;0;0;0.34343636;34.3
2025-05-31 16:09:56;17;international;Addis Ababa;ET;Accra;GH;0;Fraudulent;sim_box_fraud;Maroc Telecom;Commercial;Roaming;1;42.5;0;0;0;1;0.8063386;80.6
2025-05-31 16:09:56;345;local;Accra;GH;Accra;GH;0;Genuine;none;Maroc Telecom;Commercial;National;0;120.75;0;0;0;0;0.36910754;36.9
2025-05-31 16:09:56;194;local;Cairo;EG;Nairobi;KE;0;Genuine;none;Maroc Telecom;Commercial;National;0;67.9;0;0;0;0;0.44408813;44.4
2025-05-31 16:09:56;784;international;Nairobi;KE;Kampala;UG;0;Fraudulent;random_fraud;Maroc Telecom;Support;Roaming;1;1960.0;1;1;0;1;0.6066873;60.7
2025-05-31 16:09:56;231;local;Johannesburg;ZA;Johannesburg;ZA;0;Fraudulent;subscription_fraud;Maroc Telecom;Support;National;0;80.85;0;0;0;1;0.43725693;43.7
2025-05-31 16:09:56;134;international;Nairobi;KE;Johannesburg;ZA;0;Fraudulent;random_fraud;inwi;Commercial;International;0;160.8;0;0;1;1;0.46588692;46.6
2025-05-31 16:09:56;353;local;Cairo;EG;Accra;GH;0;Genuine;none;Maroc Telecom;Commercial;National;0;123.55;0;0;0;0;0.41244778;41.2
2025-05-31 16:09:56;44;local;Johannesburg;ZA;Cairo;EG;0;Fraudulent;random_fraud;Maroc Telecom;Commercial;National;0;15.4;0;0;0;1;0.45024228;45.0
2025-05-31 16:09:56;48;international;Lagos;NG;Kampala;UG;0;Fraudulent;sim_box_fraud;Orange Maroc;Commercial;International;0;57.6;0;0;1;1;0.8298933;83.0
2025-05-31 16:09:56;268;local;Addis Ababa;ET;Kampala;UG;0;Genuine;none;Maroc Telecom;Direction;National;0;93.8;0;0;0;0;0.37893683;37.9
2025-05-31 16:09:56;583;local;Accra;GH;Nairobi;KE;0;Genuine;none;inwi;Commercial;National;0;204.05;0;1;0;0;0.4011367;40.1
